id;image;barcode;name;description;stock;is_stock;inventary_min;price_in;price_out;unit
;;;BLUSA MANGA LARGA OXFORD CELESTE T/XL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CELESTE T/XS;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CELESTE T/XS;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CELESTE T/XXL;;3;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CELESTE T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON BLANCA T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON BLANCA T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON BLANCA T/S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON BLANCA T/XL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON BLANCA T/XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON BLANCA T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON CELESTE T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON CELESTE T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON CELESTE T/S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON CELESTE T/XL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON CELESTE T/XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD CREDITEX 100%  ALGODON CELESTE T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD GRIST/L;;7;;1;;;2
;;;BLUSA MANGA LARGA OXFORD GRIST/M;;3;;1;;;2
;;;BLUSA MANGA LARGA OXFORD GRIST/S;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD GRIST/XL;;3;;1;;;2
;;;BLUSA MANGA LARGA OXFORD GRIST/XXL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD GRIST/XXXL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODON  AZUL ITALINAO T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODON  AZUL ITALINAO T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODON  AZUL ITALINAO T/S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODON  AZUL ITALINAO T/XL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODON  AZUL ITALINAO T/XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODON  AZUL ITALINAO T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN BLANCO  T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN BLANCO  T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN BLANCO  T/S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN BLANCO  T/XL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN BLANCO  T/XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN BLANCO  T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN CELESTE T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN CELESTE T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN CELESTE T/S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN CELESTE T/XL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN CELESTE T/XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD PARCELA  ALGODÓN CELESTE T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD ROSADO /L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD ROSADO /M;;2;;1;;;2
;;;BLUSA MANGA LARGA OXFORD ROSADO /S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD ROSADO /XL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD ROSADO /XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD ROSADO /XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD VERDE AGUA T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD VERDE AGUA T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD VERDE AGUA T/S;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD VERDE AGUA T/XL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD VERDE AGUA T/XXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD VERDE AGUA T/XXXL;;0;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS  AMARILLO ;;0;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS  AZUL ;;0;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS  BLANCO ;;9;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS CELESTE ;;0;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS NEGRO;;0;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS ROJO;;129;;1;;;2
;;;BOLSA PLASTICA PARA RESIDUOS SOLIDOS VERDE ;;0;;1;;;2
;;;BOTA CAMPERA C/PUNTA DE ACERO  TALLA 39 WELLCO ;;0;;1;;;2
;;;BOTA CAMPERA C/PUNTA DE ACERO  TALLA 41 WELLCO ;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 35;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 36;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 37;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 38;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 39;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 40;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 41;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 42;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 43;;0;;1;;;2
